utt_id,path,label,label_id,speaker,attack,source_corpus,split
LA_T_0000001,data/synthetic_demo/flac/LA_T_0000001.flac,spoof,1,LA_0000,A01,synthetic_demo,train
LA_T_0000002,data/synthetic_demo/flac/LA_T_0000002.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000003,data/synthetic_demo/flac/LA_T_0000003.flac,spoof,1,LA_0000,A02,synthetic_demo,train
LA_T_0000004,data/synthetic_demo/flac/LA_T_0000004.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000005,data/synthetic_demo/flac/LA_T_0000005.flac,spoof,1,LA_0000,A01,synthetic_demo,train
LA_T_0000006,data/synthetic_demo/flac/LA_T_0000006.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000007,data/synthetic_demo/flac/LA_T_0000007.flac,spoof,1,LA_0000,A02,synthetic_demo,train
LA_T_0000008,data/synthetic_demo/flac/LA_T_0000008.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000009,data/synthetic_demo/flac/LA_T_0000009.flac,spoof,1,LA_0000,A01,synthetic_demo,train
LA_T_0000010,data/synthetic_demo/flac/LA_T_0000010.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000011,data/synthetic_demo/flac/LA_T_0000011.flac,spoof,1,LA_0000,A02,synthetic_demo,train
LA_T_0000012,data/synthetic_demo/flac/LA_T_0000012.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000013,data/synthetic_demo/flac/LA_T_0000013.flac,spoof,1,LA_0000,A01,synthetic_demo,train
LA_T_0000014,data/synthetic_demo/flac/LA_T_0000014.flac,bonafide,0,LA_0000,bonafide,synthetic_demo,train
LA_T_0000015,data/synthetic_demo/flac/LA_T_0000015.flac,spoof,1,LA_0000,A02,synthetic_demo,train
LA_T_0000016,data/synthetic_demo/flac/LA_T_0000016.flac,spoof,1,LA_0001,A01,synthetic_demo,train
LA_T_0000017,data/synthetic_demo/flac/LA_T_0000017.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000018,data/synthetic_demo/flac/LA_T_0000018.flac,spoof,1,LA_0001,A02,synthetic_demo,train
LA_T_0000019,data/synthetic_demo/flac/LA_T_0000019.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000020,data/synthetic_demo/flac/LA_T_0000020.flac,spoof,1,LA_0001,A01,synthetic_demo,train
LA_T_0000021,data/synthetic_demo/flac/LA_T_0000021.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000022,data/synthetic_demo/flac/LA_T_0000022.flac,spoof,1,LA_0001,A02,synthetic_demo,train
LA_T_0000023,data/synthetic_demo/flac/LA_T_0000023.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000024,data/synthetic_demo/flac/LA_T_0000024.flac,spoof,1,LA_0001,A01,synthetic_demo,train
LA_T_0000025,data/synthetic_demo/flac/LA_T_0000025.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000026,data/synthetic_demo/flac/LA_T_0000026.flac,spoof,1,LA_0001,A02,synthetic_demo,train
LA_T_0000027,data/synthetic_demo/flac/LA_T_0000027.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000028,data/synthetic_demo/flac/LA_T_0000028.flac,spoof,1,LA_0001,A01,synthetic_demo,train
LA_T_0000029,data/synthetic_demo/flac/LA_T_0000029.flac,bonafide,0,LA_0001,bonafide,synthetic_demo,train
LA_T_0000030,data/synthetic_demo/flac/LA_T_0000030.flac,spoof,1,LA_0001,A02,synthetic_demo,train
LA_T_0000046,data/synthetic_demo/flac/LA_T_0000046.flac,spoof,1,LA_0003,A01,synthetic_demo,train
LA_T_0000047,data/synthetic_demo/flac/LA_T_0000047.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000048,data/synthetic_demo/flac/LA_T_0000048.flac,spoof,1,LA_0003,A02,synthetic_demo,train
LA_T_0000049,data/synthetic_demo/flac/LA_T_0000049.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000050,data/synthetic_demo/flac/LA_T_0000050.flac,spoof,1,LA_0003,A01,synthetic_demo,train
LA_T_0000051,data/synthetic_demo/flac/LA_T_0000051.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000052,data/synthetic_demo/flac/LA_T_0000052.flac,spoof,1,LA_0003,A02,synthetic_demo,train
LA_T_0000053,data/synthetic_demo/flac/LA_T_0000053.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000054,data/synthetic_demo/flac/LA_T_0000054.flac,spoof,1,LA_0003,A01,synthetic_demo,train
LA_T_0000055,data/synthetic_demo/flac/LA_T_0000055.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000056,data/synthetic_demo/flac/LA_T_0000056.flac,spoof,1,LA_0003,A02,synthetic_demo,train
LA_T_0000057,data/synthetic_demo/flac/LA_T_0000057.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000058,data/synthetic_demo/flac/LA_T_0000058.flac,spoof,1,LA_0003,A01,synthetic_demo,train
LA_T_0000059,data/synthetic_demo/flac/LA_T_0000059.flac,bonafide,0,LA_0003,bonafide,synthetic_demo,train
LA_T_0000060,data/synthetic_demo/flac/LA_T_0000060.flac,spoof,1,LA_0003,A02,synthetic_demo,train
LA_T_0000061,data/synthetic_demo/flac/LA_T_0000061.flac,spoof,1,LA_0004,A01,synthetic_demo,train
LA_T_0000062,data/synthetic_demo/flac/LA_T_0000062.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000063,data/synthetic_demo/flac/LA_T_0000063.flac,spoof,1,LA_0004,A02,synthetic_demo,train
LA_T_0000064,data/synthetic_demo/flac/LA_T_0000064.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000065,data/synthetic_demo/flac/LA_T_0000065.flac,spoof,1,LA_0004,A01,synthetic_demo,train
LA_T_0000066,data/synthetic_demo/flac/LA_T_0000066.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000067,data/synthetic_demo/flac/LA_T_0000067.flac,spoof,1,LA_0004,A02,synthetic_demo,train
LA_T_0000068,data/synthetic_demo/flac/LA_T_0000068.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000069,data/synthetic_demo/flac/LA_T_0000069.flac,spoof,1,LA_0004,A01,synthetic_demo,train
LA_T_0000070,data/synthetic_demo/flac/LA_T_0000070.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000071,data/synthetic_demo/flac/LA_T_0000071.flac,spoof,1,LA_0004,A02,synthetic_demo,train
LA_T_0000072,data/synthetic_demo/flac/LA_T_0000072.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000073,data/synthetic_demo/flac/LA_T_0000073.flac,spoof,1,LA_0004,A01,synthetic_demo,train
LA_T_0000074,data/synthetic_demo/flac/LA_T_0000074.flac,bonafide,0,LA_0004,bonafide,synthetic_demo,train
LA_T_0000075,data/synthetic_demo/flac/LA_T_0000075.flac,spoof,1,LA_0004,A02,synthetic_demo,train
LA_T_0000076,data/synthetic_demo/flac/LA_T_0000076.flac,spoof,1,LA_0005,A01,synthetic_demo,train
LA_T_0000077,data/synthetic_demo/flac/LA_T_0000077.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000078,data/synthetic_demo/flac/LA_T_0000078.flac,spoof,1,LA_0005,A02,synthetic_demo,train
LA_T_0000079,data/synthetic_demo/flac/LA_T_0000079.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000080,data/synthetic_demo/flac/LA_T_0000080.flac,spoof,1,LA_0005,A01,synthetic_demo,train
LA_T_0000081,data/synthetic_demo/flac/LA_T_0000081.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000082,data/synthetic_demo/flac/LA_T_0000082.flac,spoof,1,LA_0005,A02,synthetic_demo,train
LA_T_0000083,data/synthetic_demo/flac/LA_T_0000083.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000084,data/synthetic_demo/flac/LA_T_0000084.flac,spoof,1,LA_0005,A01,synthetic_demo,train
LA_T_0000085,data/synthetic_demo/flac/LA_T_0000085.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000086,data/synthetic_demo/flac/LA_T_0000086.flac,spoof,1,LA_0005,A02,synthetic_demo,train
LA_T_0000087,data/synthetic_demo/flac/LA_T_0000087.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000088,data/synthetic_demo/flac/LA_T_0000088.flac,spoof,1,LA_0005,A01,synthetic_demo,train
LA_T_0000089,data/synthetic_demo/flac/LA_T_0000089.flac,bonafide,0,LA_0005,bonafide,synthetic_demo,train
LA_T_0000090,data/synthetic_demo/flac/LA_T_0000090.flac,spoof,1,LA_0005,A02,synthetic_demo,train
LA_T_0000106,data/synthetic_demo/flac/LA_T_0000106.flac,spoof,1,LA_0007,A01,synthetic_demo,train
LA_T_0000107,data/synthetic_demo/flac/LA_T_0000107.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000108,data/synthetic_demo/flac/LA_T_0000108.flac,spoof,1,LA_0007,A02,synthetic_demo,train
LA_T_0000109,data/synthetic_demo/flac/LA_T_0000109.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000110,data/synthetic_demo/flac/LA_T_0000110.flac,spoof,1,LA_0007,A01,synthetic_demo,train
LA_T_0000111,data/synthetic_demo/flac/LA_T_0000111.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000112,data/synthetic_demo/flac/LA_T_0000112.flac,spoof,1,LA_0007,A02,synthetic_demo,train
LA_T_0000113,data/synthetic_demo/flac/LA_T_0000113.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000114,data/synthetic_demo/flac/LA_T_0000114.flac,spoof,1,LA_0007,A01,synthetic_demo,train
LA_T_0000115,data/synthetic_demo/flac/LA_T_0000115.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000116,data/synthetic_demo/flac/LA_T_0000116.flac,spoof,1,LA_0007,A02,synthetic_demo,train
LA_T_0000117,data/synthetic_demo/flac/LA_T_0000117.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000118,data/synthetic_demo/flac/LA_T_0000118.flac,spoof,1,LA_0007,A01,synthetic_demo,train
LA_T_0000119,data/synthetic_demo/flac/LA_T_0000119.flac,bonafide,0,LA_0007,bonafide,synthetic_demo,train
LA_T_0000120,data/synthetic_demo/flac/LA_T_0000120.flac,spoof,1,LA_0007,A02,synthetic_demo,train
