utt_id,path,label,split,source_corpus,ok,error,sample_rate,n_channels,n_samples,duration_s,dc_offset,rms,rms_dbfs,peak,clipping_rate,silence_ratio
LA_T_0000001,data/synthetic_demo/flac/LA_T_0000001.flac,spoof,train,synthetic_demo,True,,16000,1,32153,2.0095625,5.537260933077785e-06,0.10647681047437492,-19.454899333636348,0.630523681640625,0.0,0.2197306627686374
LA_T_0000002,data/synthetic_demo/flac/LA_T_0000002.flac,bonafide,train,synthetic_demo,True,,16000,1,27635,1.7271875,-7.24978832605844e-06,0.08274107474708761,-21.6455768446143,0.323516845703125,0.0,0.20332911163379774
LA_T_0000003,data/synthetic_demo/flac/LA_T_0000003.flac,spoof,train,synthetic_demo,True,,16000,1,36693,2.2933125,-2.6506287707294305e-06,0.06502250210658357,-23.738726451896394,0.364105224609375,0.0,0.10696863161910997
LA_T_0000004,data/synthetic_demo/flac/LA_T_0000004.flac,bonafide,train,synthetic_demo,True,,16000,1,35772,2.23575,6.850501854627922e-06,0.11346812916987219,-18.902522112033207,0.436187744140625,0.0,0.1555406463155541
LA_T_0000005,data/synthetic_demo/flac/LA_T_0000005.flac,spoof,train,synthetic_demo,True,,16000,1,36317,2.2698125,1.2310557577202138e-06,0.04976395632229056,-26.06170199534906,0.278411865234375,0.0,0.14001707189470491
LA_T_0000006,data/synthetic_demo/flac/LA_T_0000006.flac,bonafide,train,synthetic_demo,True,,16000,1,27994,1.749625,-2.910583762089644e-05,0.13234958234065264,-17.565548497518783,0.61968994140625,0.0,0.1586768593269986
LA_T_0000007,data/synthetic_demo/flac/LA_T_0000007.flac,spoof,train,synthetic_demo,True,,16000,1,24000,1.5,1.6657511393229166e-07,0.10594983244446503,-19.497994515449157,0.60009765625,0.0,0.16800000000000004
LA_T_0000008,data/synthetic_demo/flac/LA_T_0000008.flac,bonafide,train,synthetic_demo,True,,16000,1,24000,1.5,-4.010518391927083e-06,0.11678994565681243,-18.65189087284844,0.534210205078125,0.0,0.23199999999999998
LA_T_0000009,data/synthetic_demo/flac/LA_T_0000009.flac,spoof,train,synthetic_demo,True,,16000,1,38206,2.387875,-4.4866574969409254e-06,0.06540484974450726,-23.687800954252083,0.36297607421875,0.0,0.12893262838297648
LA_T_0000010,data/synthetic_demo/flac/LA_T_0000010.flac,bonafide,train,synthetic_demo,True,,16000,1,29884,1.86775,-1.5191389780066256e-05,0.057316725506232936,-24.834372574564092,0.254058837890625,0.0,0.17762013117387232
LA_T_0000011,data/synthetic_demo/flac/LA_T_0000011.flac,spoof,train,synthetic_demo,True,,16000,1,25868,1.61675,-3.816466879324842e-06,0.044245401872213604,-27.08263711866119,0.2677001953125,0.0,0.22808102675119835
LA_T_0000012,data/synthetic_demo/flac/LA_T_0000012.flac,bonafide,train,synthetic_demo,True,,16000,1,39216,2.451,2.6916883663954124e-05,0.12139674505254425,-18.315859152310757,0.51806640625,0.0,0.11219910240718078
LA_T_0000013,data/synthetic_demo/flac/LA_T_0000013.flac,spoof,train,synthetic_demo,True,,16000,1,33759,2.1099375,2.6360158124500134e-06,0.08014705627047881,-21.922248485277215,0.47027587890625,0.0,0.22651737314493914
LA_T_0000014,data/synthetic_demo/flac/LA_T_0000014.flac,bonafide,train,synthetic_demo,True,,16000,1,38984,2.4365,3.870277710086189e-06,0.06334172239037111,-23.966202629050496,0.285980224609375,0.0,0.10691565770572542
LA_T_0000015,data/synthetic_demo/flac/LA_T_0000015.flac,spoof,train,synthetic_demo,True,,16000,1,27854,1.740875,7.066790367855604e-07,0.05008564628199355,-26.005734358376905,0.2784423828125,0.0,0.15444819415523803
LA_T_0000016,data/synthetic_demo/flac/LA_T_0000016.flac,spoof,train,synthetic_demo,True,,16000,1,31187,1.9491875,9.667928042934556e-07,0.08484585972185188,-21.42738690754463,0.349334716796875,0.0,0.11347676916663996
LA_T_0000017,data/synthetic_demo/flac/LA_T_0000017.flac,bonafide,train,synthetic_demo,True,,16000,1,29072,1.817,1.359287696548655e-05,0.09327682132477588,-20.60452524326024,0.40228271484375,0.0,0.17226197028068246
LA_T_0000018,data/synthetic_demo/flac/LA_T_0000018.flac,spoof,train,synthetic_demo,True,,16000,1,31924,1.99525,-6.0970152011417745e-06,0.07028066877473615,-23.063282290206555,0.30145263671875,0.0,0.2141335672221526
LA_T_0000019,data/synthetic_demo/flac/LA_T_0000019.flac,bonafide,train,synthetic_demo,True,,16000,1,30260,1.89125,-2.3004162492770984e-06,0.087885549461523,-21.121650554278734,0.347198486328125,0.0,0.13707865168539324
